order,title,link0,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16
6F,Type Template Literals,https://www.typescriptlang.org/play?jsx=1&ssl=14&ssc=1&pln=15&pc=1#code/C4TwDgpgBAwgFgQwE4IMbAkmAbBBnPKAXigHIB3ZJAeyVKgB8ywFcATASwDt6mKOAXsja8yqbJg6pSAbgBQc0JCgAZBOXgJqhEqVzkAZgFdso0lwhHgKU4zGJqwKbMXhoAcWrU2AUQBuHNjEZADmXiJ25pbWrGYQAabyrsqaKOiYwQDeclBQXAgAthAAXFB41twh8rlgNAYQBBzUXKWpaBhYuATVUKwcIVxFXMCl5UiVMlAA9FNQAOrQlMNQwNRQqIgh0MBwHHgAhHIAvgqozeVlGH4lsIhpHVk5eYU3pADKVxCkADRPtdT1RrNUr8IRIES-XJ9AZDEb2LROVAAWjC3h+xxkQA,https://www.typescriptlang.org/play?jsx=1&ssl=30&ssc=1&pln=31&pc=1#code/C4TwDgpgBAahBOwCWBjAhgGwIIaQcwDsBbCA4KAXigHJgB7MaqAHxpVOASdeoCM7g9ItQDcAKFCQoACTrwkALzoFMOfMQ6UaGCADNg3Nhy4sa8vAAsD4ieGgAhOgA8tAbzFQoTgFxQCAVyJeBHFPEF8AoJCPKEx1EjJfAGdgeQI8ESgAeiyoABkIAySoIjQAa2hgCyRi4MEEADoxAF8bFGUU2N9HFyp3Tx8oAEYABgAaGPDh8Zi4wgTgX1oGAFp2Mi4J1rExdoJO3m7nNxjBgCYZsN8Lic85jUSafkE6IhXzK2otto7yJIs6P4MAATezwCDlI69KD9LzXS5QKY3Wa4eYcJY6fTvfCfb47Padf6AkFgiFlLDAABiSHgKXs-mAAFEAG4cfyYDAgADqcjKUJOA18owRU2Ft1iqIeiyMG3gXxaIiAA,https://www.typescriptlang.org/play?jsx=1#code/C4TwDgpgBAahBOwCWBjAhgGwIIaQcwDsBbCA4KAXigHJgB7MaqAHxpVOASdeoCM7g9ItQDcAKFCQoACTrwkALzoFMOfMQ6UaGCADNg3Nhy4sa8vAAsD4ieGgAhOgA8tAbzFQoTgFxQCAVyJeBHFPEF8AoJCPKEx1EjJfAAMAElc4RFRVXEIE4ABfAFo02XklFWwcjTJ8pPF8mxRlAGdyNF9HFyp3Tx8oAEYABgAaGPCBkZi43I5fWgZC9jIuUYaxMSaCVqheDuc3GL6AJkmw3xPRz2nq4Dn+QToiQvMralXGlvJmizp-DAATezwCBoADWey6UB6XnOpyg4wuUyqeTmOn0z3wr3e60222+vwBQJBoKwwAAYkh4K17P5gABRABuHH8mAwIAA6nJwVBOgder4hnDxoLLrFkbMjMt4G8xA0gA,https://www.typescriptlang.org/play?jsx=1&ssl=4&ssc=1&pln=6&pc=1#code/C4TwDgpgBAahBOwCWBjAhgGwIIaQcwDsBbCA4KAXigHJgB7MaqAHxpVOASdeoCM7g9ItQDcAKFCQoACTrwkALzoFMOfMQ6UaGCADNg3Nhy4sa8vAAsD4ieGhrCJMloCiADxQYArgBMIAHgADABIAbzhEVFVcRw4AXwBaMNl5JRVsGI0yOMDTanYyLgAaI0L4BILOeGoAPhtJaAAhOjctULEoKDcALigCLyJeBHFOkF7+weGOqEx1J2BehyzgcTibFGUAZ3I0XubWqnbOnqgARgAGIumxs8vp2diyXtoGCuNqq7WxMQ2CbaheHsWm1picAEx3Ua9CFXToPZbPfiCOhEBLmKzUT7rLbkTYWOheDA+RrwCBoADWQIOUCOXWhkKgNxh90y82elQQbzKmLEXx+OKgeIJRJJZPJWGAADEkPBto0vMAXAA3DheTAYEAAdTklKg+xBx16FwZN2NsJmrI47PePLWQA,,,,,,,,,,,,,
6G,Type Template Literals: Refactoring Our Color Adjustment Actions,https://codesandbox.io/s/red-green-blue-with-template-literals-4yf86?file=/src/reducer.ts,,,,,,,,,,,,,,,,
8A,Higher Order Components with TypeScript,https://codesandbox.io/s/character-sheet-utility-types-complete-jb8d4,https://codesandbox.io/s/character-sheet-utility-with-hoc-3opyk?file=/src/Application.tsx:740-746,,,,,,,,,,,,,,,
8B,Higher Order Components with TypeScript,https://codesandbox.io/s/greeting-hoc-fxqnl,,,,,,,,,,,,,,,,
8C,Higher Order Components (Solution),https://codesandbox.io/s/greeting-hoc-completed-v1g48,,,,,,,,,,,,,,,,
9A,Limiting Props a Component Can Take Based on Other Props,,,,,,,,,,,,,,,,,
9B,Polymorphic Components with TypeScript,,,,,,,,,,,,,,,,,
9C,Function Overloads,,,,,,,,,,,,,,,,,
9D,Demanding Props Based on Other Props,,,,,,,,,,,,,,,,,
10A,Migrating From JavaScript,,,,,,,,,,,,,,,,,
10B,Types Versus Interfaces,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html#differences-between-type-aliases-and-interfaces,https://twitter.com/karoljmajewski/status/1082413696075382785,https://pbs.twimg.com/media/DwV-oOsXcAIct2q?format=jpg&name=medium,,,,,,,,,,,,,,
